2025-01-04 16:25:11,935 - MyTrainer - INFO - epoch: 0, i: 270, loss: 2.2419, acc: 0.1333
2025-01-04 16:25:24,218 - MyTrainer - INFO - epoch: 0, i: 275, loss: 2.4126, acc: 0.1000
2025-01-04 16:25:36,500 - MyTrainer - INFO - epoch: 0, i: 280, loss: 2.3753, acc: 0.0333
2025-01-04 16:25:48,778 - MyTrainer - INFO - epoch: 0, i: 285, loss: 2.2664, acc: 0.0667
2025-01-04 16:26:01,081 - MyTrainer - INFO - epoch: 0, i: 290, loss: 2.3794, acc: 0.0667
2025-01-04 16:26:13,421 - MyTrainer - INFO - epoch: 0, i: 295, loss: 2.4899, acc: 0.0667
2025-01-04 16:26:25,702 - MyTrainer - INFO - epoch: 0, i: 300, loss: 2.2832, acc: 0.1333
2025-01-04 16:26:37,999 - MyTrainer - INFO - epoch: 0, i: 305, loss: 2.4118, acc: 0.0333
2025-01-04 16:26:50,395 - MyTrainer - INFO - epoch: 0, i: 310, loss: 2.3760, acc: 0.0667
2025-01-04 16:27:02,672 - MyTrainer - INFO - epoch: 0, i: 315, loss: 2.4882, acc: 0.1000
2025-01-04 16:27:14,930 - MyTrainer - INFO - epoch: 0, i: 320, loss: 2.3566, acc: 0.1333
2025-01-04 16:27:27,270 - MyTrainer - INFO - epoch: 0, i: 325, loss: 2.3511, acc: 0.1333
2025-01-04 16:27:39,589 - MyTrainer - INFO - epoch: 0, i: 330, loss: 2.5427, acc: 0.0667
2025-01-04 16:27:51,870 - MyTrainer - INFO - epoch: 0, i: 335, loss: 2.3902, acc: 0.1667
2025-01-04 16:28:04,211 - MyTrainer - INFO - epoch: 0, i: 340, loss: 2.3779, acc: 0.1000
2025-01-04 16:28:16,616 - MyTrainer - INFO - epoch: 0, i: 345, loss: 2.4611, acc: 0.1000
2025-01-04 16:28:29,002 - MyTrainer - INFO - epoch: 0, i: 350, loss: 2.5214, acc: 0.0667
2025-01-04 16:28:41,333 - MyTrainer - INFO - epoch: 0, i: 355, loss: 2.3693, acc: 0.1000
2025-01-04 16:28:53,675 - MyTrainer - INFO - epoch: 0, i: 360, loss: 2.3553, acc: 0.1000
2025-01-04 16:29:06,018 - MyTrainer - INFO - epoch: 0, i: 365, loss: 2.5355, acc: 0.0667
2025-01-04 16:29:18,414 - MyTrainer - INFO - epoch: 0, i: 370, loss: 2.3900, acc: 0.1000
2025-01-04 16:29:30,732 - MyTrainer - INFO - epoch: 0, i: 375, loss: 2.4715, acc: 0.1000
2025-01-04 16:29:50,364 - MyTrainer - INFO - epoch: 0, i: 0, loss: 2.3910, acc: 0.1000
2025-01-04 16:30:02,656 - MyTrainer - INFO - epoch: 0, i: 5, loss: 5.2981, acc: 0.1333
2025-01-04 16:30:14,891 - MyTrainer - INFO - epoch: 0, i: 10, loss: 3.1666, acc: 0.0667
2025-01-04 16:30:27,171 - MyTrainer - INFO - epoch: 0, i: 15, loss: 2.6452, acc: 0.0000
2025-01-04 16:30:39,498 - MyTrainer - INFO - epoch: 0, i: 20, loss: 2.4756, acc: 0.0667
2025-01-04 16:30:51,865 - MyTrainer - INFO - epoch: 0, i: 25, loss: 2.2180, acc: 0.2000
2025-01-04 16:31:04,237 - MyTrainer - INFO - epoch: 0, i: 30, loss: 2.6735, acc: 0.1333
2025-01-04 16:31:16,594 - MyTrainer - INFO - epoch: 0, i: 35, loss: 2.5395, acc: 0.0333
2025-01-04 16:31:28,927 - MyTrainer - INFO - epoch: 0, i: 40, loss: 2.3778, acc: 0.0333
2025-01-04 16:31:41,296 - MyTrainer - INFO - epoch: 0, i: 45, loss: 2.6102, acc: 0.0667
2025-01-04 16:31:53,537 - MyTrainer - INFO - epoch: 0, i: 50, loss: 2.4629, acc: 0.0667
2025-01-04 16:32:05,832 - MyTrainer - INFO - epoch: 0, i: 55, loss: 2.5881, acc: 0.0667
2025-01-04 16:32:18,120 - MyTrainer - INFO - epoch: 0, i: 60, loss: 2.5029, acc: 0.0333
2025-01-04 16:32:30,383 - MyTrainer - INFO - epoch: 0, i: 65, loss: 2.6350, acc: 0.0333
2025-01-04 16:32:42,714 - MyTrainer - INFO - epoch: 0, i: 70, loss: 2.5823, acc: 0.1000
2025-01-04 16:32:55,022 - MyTrainer - INFO - epoch: 0, i: 75, loss: 2.4346, acc: 0.1667
2025-01-04 16:33:07,264 - MyTrainer - INFO - epoch: 0, i: 80, loss: 2.4348, acc: 0.1000
2025-01-04 16:33:19,525 - MyTrainer - INFO - epoch: 0, i: 85, loss: 2.3460, acc: 0.1000
2025-01-04 16:33:31,911 - MyTrainer - INFO - epoch: 0, i: 90, loss: 2.4372, acc: 0.0667
2025-01-04 16:33:44,232 - MyTrainer - INFO - epoch: 0, i: 95, loss: 2.4169, acc: 0.1000
2025-01-04 16:33:56,651 - MyTrainer - INFO - epoch: 0, i: 100, loss: 2.6465, acc: 0.1000
2025-01-04 16:35:06,489 - MyTrainer - INFO - epoch: 0, i: 0, loss: 2.4166, acc: 0.0667
2025-01-04 16:35:18,779 - MyTrainer - INFO - epoch: 0, i: 5, loss: 3.3800, acc: 0.0333
2025-01-04 16:35:31,040 - MyTrainer - INFO - epoch: 0, i: 10, loss: 2.8098, acc: 0.0667
2025-01-04 16:35:43,344 - MyTrainer - INFO - epoch: 0, i: 15, loss: 2.5145, acc: 0.1000
2025-01-04 16:35:55,631 - MyTrainer - INFO - epoch: 0, i: 20, loss: 2.4855, acc: 0.0667
2025-01-04 16:36:07,896 - MyTrainer - INFO - epoch: 0, i: 25, loss: 2.5111, acc: 0.1333
2025-01-04 16:36:20,193 - MyTrainer - INFO - epoch: 0, i: 30, loss: 2.3399, acc: 0.0667
2025-01-04 16:36:32,449 - MyTrainer - INFO - epoch: 0, i: 35, loss: 2.3756, acc: 0.1000
2025-01-04 16:36:44,680 - MyTrainer - INFO - epoch: 0, i: 40, loss: 2.2973, acc: 0.0333
2025-01-04 16:36:56,944 - MyTrainer - INFO - epoch: 0, i: 45, loss: 2.2919, acc: 0.1667
2025-01-04 16:37:09,309 - MyTrainer - INFO - epoch: 0, i: 50, loss: 2.3454, acc: 0.1667
2025-01-04 16:37:21,559 - MyTrainer - INFO - epoch: 0, i: 55, loss: 2.5191, acc: 0.0333
2025-01-04 16:37:33,858 - MyTrainer - INFO - epoch: 0, i: 60, loss: 2.7849, acc: 0.0333
2025-01-04 16:37:46,074 - MyTrainer - INFO - epoch: 0, i: 65, loss: 2.4511, acc: 0.1000
2025-01-04 16:37:58,376 - MyTrainer - INFO - epoch: 0, i: 70, loss: 2.2252, acc: 0.2333
2025-01-04 16:38:10,686 - MyTrainer - INFO - epoch: 0, i: 75, loss: 2.4015, acc: 0.0667
2025-01-04 16:38:22,949 - MyTrainer - INFO - epoch: 0, i: 80, loss: 2.3755, acc: 0.0667
2025-01-04 16:38:35,254 - MyTrainer - INFO - epoch: 0, i: 85, loss: 2.2329, acc: 0.1000
2025-01-04 16:38:47,559 - MyTrainer - INFO - epoch: 0, i: 90, loss: 2.4445, acc: 0.0667
2025-01-04 16:38:59,855 - MyTrainer - INFO - epoch: 0, i: 95, loss: 2.2870, acc: 0.1000
2025-01-04 16:39:12,134 - MyTrainer - INFO - epoch: 0, i: 100, loss: 2.4138, acc: 0.0667
2025-01-04 16:39:24,430 - MyTrainer - INFO - epoch: 0, i: 105, loss: 2.2912, acc: 0.1333
2025-01-04 16:39:36,739 - MyTrainer - INFO - epoch: 0, i: 110, loss: 2.3180, acc: 0.1667
